provincie,postcode,plaats,Type,hoofdgemeente
Oost-Vlaanderen,2070,Burcht,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,2070,Zwijndrecht,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9000,Gent,Hoofdgemeente,GENT
Oost-Vlaanderen,9030,Mariakerke,Deelgemeente,GENT
Oost-Vlaanderen,9031,Drongen,Deelgemeente,GENT
Oost-Vlaanderen,9032,Wondelgem,Deelgemeente,GENT
Oost-Vlaanderen,9040,Sint-Amandsberg,Deelgemeente,GENT
Oost-Vlaanderen,9041,Oostakker,Deelgemeente,GENT
Oost-Vlaanderen,9042,Desteldonk,Deelgemeente,GENT
Oost-Vlaanderen,9042,Mendonk,Deelgemeente,GENT
Oost-Vlaanderen,9042,Sint-Kruis-Winkel,Deelgemeente,GENT
Oost-Vlaanderen,9050,Gentbrugge,Deelgemeente,GENT
Oost-Vlaanderen,9050,Ledeberg,Deelgemeente,GENT
Oost-Vlaanderen,9051,Afsnee,Deelgemeente,GENT
Oost-Vlaanderen,9051,Sint-Denijs-Westrem,Deelgemeente,GENT
Oost-Vlaanderen,9052,Zwijnaarde,Deelgemeente,GENT
Oost-Vlaanderen,9060,Zelzate,Hoofdgemeente,ZELZATE
Oost-Vlaanderen,9070,Destelbergen,Hoofdgemeente,DESTELBERGEN
Oost-Vlaanderen,9070,Heusden,Deelgemeente,DESTELBERGEN
Oost-Vlaanderen,9080,Beervelde,Deelgemeente,LOCHRISTI
Oost-Vlaanderen,9080,Lochristi,Hoofdgemeente,LOCHRISTI
Oost-Vlaanderen,9080,Zaffelare,Deelgemeente,LOCHRISTI
Oost-Vlaanderen,9080,Zeveneken,Deelgemeente,LOCHRISTI
Oost-Vlaanderen,9090,Gontrode,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9090,Melle,Deelgemeente,MERELBEKE-MELLE
Oost-Vlaanderen,9100,Nieuwkerken-Waas,Deelgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9100,Sint-Niklaas,Hoofdgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9111,Belsele,Deelgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9112,Sinaai-Waas,Deelgemeente,SINT-NIKLAAS
Oost-Vlaanderen,9120,Beveren-Waas,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9120,Haasdonk,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9120,Kallo,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
Oost-Vlaanderen,9120,Melsele,Deelgemeente,BEVEREN-KRUIBEKE-ZWIJNDRECHT
